unicode,gb2312,Chinese,stroke number
0x594B,0xB7DC,奋,8
0x4EFD,0xB7DD,份,6
0x5FFF,0xB7DE,忿,8
0x6124,0xB7DF,愤,12
0x7CAA,0xB7E0,粪,12
0x4E30,0xB7E1,丰,4
0x5C01,0xB7E2,封,9
0x67AB,0xB7E3,枫,8
0x8702,0xB7E4,蜂,13
0x5CF0,0xB7E5,峰,10
0x950B,0xB7E6,锋,12
0x98CE,0xB7E7,风,4
0x75AF,0xB7E8,疯,9
0x70FD,0xB7E9,烽,11
0x9022,0xB7EA,逢,10
0x51AF,0xB7EB,冯,5
0x7F1D,0xB7EC,缝,13
0x8BBD,0xB7ED,讽,6
0x5949,0xB7EE,奉,8
0x51E4,0xB7EF,凤,4
0x4F5B,0xB7F0,佛,7
0x5426,0xB7F1,否,7
0x592B,0xB7F2,夫,4
0x6577,0xB7F3,敷,15
0x80A4,0xB7F4,肤,8
0x5B75,0xB7F5,孵,14
0x6276,0xB7F6,扶,7
0x62C2,0xB7F7,拂,8
0x8F90,0xB7F8,辐,13
0x5E45,0xB7F9,幅,12
0x6C1F,0xB7FA,氟,9
0x7B26,0xB7FB,符,11
0x4F0F,0xB7FC,伏,6
0x4FD8,0xB7FD,俘,9
0x670D,0xB7FE,服,8
0x6D6E,0xB8A1,浮,10
0x6DAA,0xB8A2,涪,11
0x798F,0xB8A3,福,13
0x88B1,0xB8A4,袱,11
0x5F17,0xB8A5,弗,5
0x752B,0xB8A6,甫,7
0x629A,0xB8A7,抚,7
0x8F85,0xB8A8,辅,11
0x4FEF,0xB8A9,俯,10
0x91DC,0xB8AA,釜,10
0x65A7,0xB8AB,斧,8
0x812F,0xB8AC,脯,11
0x8151,0xB8AD,腑,12
0x5E9C,0xB8AE,府,8
0x8150,0xB8AF,腐,14
0x8D74,0xB8B0,赴,9
0x526F,0xB8B1,副,11
0x8986,0xB8B2,覆,18
0x8D4B,0xB8B3,赋,12
0x590D,0xB8B4,复,9
0x5085,0xB8B5,傅,12
0x4ED8,0xB8B6,付,5
0x961C,0xB8B7,阜,8
0x7236,0xB8B8,父,4
0x8179,0xB8B9,腹,13
0x8D1F,0xB8BA,负,6
0x5BCC,0xB8BB,富,12
0x8BA3,0xB8BC,讣,4
0x9644,0xB8BD,附,7
0x5987,0xB8BE,妇,6
0x7F1A,0xB8BF,缚,13
0x5490,0xB8C0,咐,8
0x5676,0xB8C1,噶,15
0x560E,0xB8C2,嘎,14
0x8BE5,0xB8C3,该,8
0x6539,0xB8C4,改,7
0x6982,0xB8C5,概,13
