unicode,gb2312,Chinese,id
0x4E1B,0xB4D4,丛,427
0x51D1,0xB4D5,凑,428
0x7C97,0xB4D6,粗,429
0x918B,0xB4D7,醋,430
0x7C07,0xB4D8,簇,431
0x4FC3,0xB4D9,促,432
0x8E7F,0xB4DA,蹿,433
0x7BE1,0xB4DB,篡,434
0x7A9C,0xB4DC,窜,435
0x6467,0xB4DD,摧,436
0x5D14,0xB4DE,崔,437
0x50AC,0xB4DF,催,438
0x8106,0xB4E0,脆,439
0x7601,0xB4E1,瘁,440
0x7CB9,0xB4E2,粹,441
0x6DEC,0xB4E3,淬,442
0x7FE0,0xB4E4,翠,443
0x6751,0xB4E5,村,444
0x5B58,0xB4E6,存,445
0x5BF8,0xB4E7,寸,446
0x78CB,0xB4E8,磋,447
0x64AE,0xB4E9,撮,448
0x6413,0xB4EA,搓,449
0x63AA,0xB4EB,措,450
0x632B,0xB4EC,挫,451
0x9519,0xB4ED,错,452
0x642D,0xB4EE,搭,453
0x8FBE,0xB4EF,达,454
0x7B54,0xB4F0,答,455
0x7629,0xB4F1,瘩,456
0x6253,0xB4F2,打,457
0x5927,0xB4F3,大,458
0x5446,0xB4F4,呆,459
0x6B79,0xB4F5,歹,460
0x50A3,0xB4F6,傣,461
0x6234,0xB4F7,戴,462
0x5E26,0xB4F8,带,463
0x6B86,0xB4F9,殆,464
0x4EE3,0xB4FA,代,465
0x8D37,0xB4FB,贷,466
0x888B,0xB4FC,袋,467
0x5F85,0xB4FD,待,468
0x902E,0xB4FE,逮,469
0x6020,0xB5A1,怠,470
0x803D,0xB5A2,耽,471
0x62C5,0xB5A3,担,472
0x4E39,0xB5A4,丹,473
0x5355,0xB5A5,单,474
0x90F8,0xB5A6,郸,475
0x63B8,0xB5A7,掸,476
0x80C6,0xB5A8,胆,477
0x65E6,0xB5A9,旦,478
0x6C2E,0xB5AA,氮,479
0x4F46,0xB5AB,但,480
0x60EE,0xB5AC,惮,481
0x6DE1,0xB5AD,淡,482
0x8BDE,0xB5AE,诞,483
0x5F39,0xB5AF,弹,484
0x86CB,0xB5B0,蛋,485
0x5F53,0xB5B1,当,486
0x6321,0xB5B2,挡,487
0x515A,0xB5B3,党,488
0x8361,0xB5B4,荡,489
0x6863,0xB5B5,档,490
0x5200,0xB5B6,刀,491
0x6363,0xB5B7,捣,492
0x8E48,0xB5B8,蹈,493
0x5012,0xB5B9,倒,494
0x5C9B,0xB5BA,岛,495
0x7977,0xB5BB,祷,496
0x5BFC,0xB5BC,导,497
0x5230,0xB5BD,到,498
0x7A3B,0xB5BE,稻,499
0x60BC,0xB5BF,悼,500
0x9053,0xB5C0,道,501
0x76D7,0xB5C1,盗,502
0x5FB7,0xB5C2,德,503
0x5F97,0xB5C3,得,504
0x7684,0xB5C4,的,505
0x8E6C,0xB5C5,蹬,506
0x706F,0xB5C6,灯,507
0x767B,0xB5C7,登,508
0x7B49,0xB5C8,等,509
0x77AA,0xB5C9,瞪,510
0x51F3,0xB5CA,凳,511
0x9093,0xB5CB,邓,512
0x5824,0xB5CC,堤,513
0x4F4E,0xB5CD,低,514
0x6EF4,0xB5CE,滴,515
0x8FEA,0xB5CF,迪,516
0x654C,0xB5D0,敌,517
0x7B1B,0xB5D1,笛,518
0x72C4,0xB5D2,狄,519
0x6DA4,0xB5D3,涤,520
0x7FDF,0xB5D4,翟,521
0x5AE1,0xB5D5,嫡,522
0x62B5,0xB5D6,抵,523
0x5E95,0xB5D7,底,524
0x5730,0xB5D8,地,525
0x8482,0xB5D9,蒂,526
0x7B2C,0xB5DA,第,527
0x5E1D,0xB5DB,帝,528
0x5F1F,0xB5DC,弟,529
0x9012,0xB5DD,递,530
0x7F14,0xB5DE,缔,531
0x98A0,0xB5DF,颠,532
0x6382,0xB5E0,掂,533
0x6EC7,0xB5E1,滇,534
0x7898,0xB5E2,碘,535
0x70B9,0xB5E3,点,536
0x5178,0xB5E4,典,537
0x975B,0xB5E5,靛,538
0x57AB,0xB5E6,垫,539
0x7535,0xB5E7,电,540
0x4F43,0xB5E8,佃,541
0x7538,0xB5E9,甸,542
0x5E97,0xB5EA,店,543
0x60E6,0xB5EB,惦,544
0x5960,0xB5EC,奠,545
0x6DC0,0xB5ED,淀,546
0x6BBF,0xB5EE,殿,547
0x7889,0xB5EF,碉,548
0x53FC,0xB5F0,叼,549
0x96D5,0xB5F1,雕,550
0x51CB,0xB5F2,凋,551
0x5201,0xB5F3,刁,552
0x6389,0xB5F4,掉,553
0x540A,0xB5F5,吊,554
0x9493,0xB5F6,钓,555
0x8C03,0xB5F7,调,556
0x8DCC,0xB5F8,跌,557
0x7239,0xB5F9,爹,558
0x789F,0xB5FA,碟,559
0x8776,0xB5FB,蝶,560
0x8FED,0xB5FC,迭,561
0x8C0D,0xB5FD,谍,562
0x53E0,0xB5FE,叠,563
0x4E01,0xB6A1,丁,564
0x76EF,0xB6A2,盯,565
0x53EE,0xB6A3,叮,566
0x9489,0xB6A4,钉,567
0x9876,0xB6A5,顶,568
0x9F0E,0xB6A6,鼎,569
0x952D,0xB6A7,锭,570
0x5B9A,0xB6A8,定,571
0x8BA2,0xB6A9,订,572
0x4E22,0xB6AA,丢,573
0x4E1C,0xB6AB,东,574
0x51AC,0xB6AC,冬,575
0x8463,0xB6AD,董,576
0x61C2,0xB6AE,懂,577
0x52A8,0xB6AF,动,578
0x680B,0xB6B0,栋,579
0x4F97,0xB6B1,侗,580
0x606B,0xB6B2,恫,581
0x51BB,0xB6B3,冻,582
0x6D1E,0xB6B4,洞,583
0x515C,0xB6B5,兜,584
0x6296,0xB6B6,抖,585
0x6597,0xB6B7,斗,586
0x9661,0xB6B8,陡,587
0x8C46,0xB6B9,豆,588
0x9017,0xB6BA,逗,589
0x75D8,0xB6BB,痘,590
0x90FD,0xB6BC,都,591
0x7763,0xB6BD,督,592
0x6BD2,0xB6BE,毒,593
0x728A,0xB6BF,犊,594
0x72EC,0xB6C0,独,595
0x8BFB,0xB6C1,读,596
0x5835,0xB6C2,堵,597
0x7779,0xB6C3,睹,598
0x8D4C,0xB6C4,赌,599
0x675C,0xB6C5,杜,600
0x9540,0xB6C6,镀,601
0x809A,0xB6C7,肚,602
0x5EA6,0xB6C8,度,603
0x6E21,0xB6C9,渡,604
0x5992,0xB6CA,妒,605
0x7AEF,0xB6CB,端,606
0x77ED,0xB6CC,短,607
0x953B,0xB6CD,锻,608
0x6BB5,0xB6CE,段,609
0x65AD,0xB6CF,断,610
0x7F0E,0xB6D0,缎,611
0x5806,0xB6D1,堆,612
0x5151,0xB6D2,兑,613
0x961F,0xB6D3,队,614
0x5BF9,0xB6D4,对,615
0x58A9,0xB6D5,墩,616
0x5428,0xB6D6,吨,617
0x8E72,0xB6D7,蹲,618
0x6566,0xB6D8,敦,619
0x987F,0xB6D9,顿,620
0x56E4,0xB6DA,囤,621
0x949D,0xB6DB,钝,622
0x76FE,0xB6DC,盾,623
0x9041,0xB6DD,遁,624
0x6387,0xB6DE,掇,625
0x54C6,0xB6DF,哆,626
0x591A,0xB6E0,多,627
0x593A,0xB6E1,夺,628
0x579B,0xB6E2,垛,629
0x8EB2,0xB6E3,躲,630
0x6735,0xB6E4,朵,631
0x8DFA,0xB6E5,跺,632
0x8235,0xB6E6,舵,633
0x5241,0xB6E7,剁,634
0x60F0,0xB6E8,惰,635
0x5815,0xB6E9,堕,636
0x86FE,0xB6EA,蛾,637
0x5CE8,0xB6EB,峨,638
0x9E45,0xB6EC,鹅,639
0x4FC4,0xB6ED,俄,640
0x989D,0xB6EE,额,641
0x8BB9,0xB6EF,讹,642
0x5A25,0xB6F0,娥,643
0x6076,0xB6F1,恶,644
0x5384,0xB6F2,厄,645
0x627C,0xB6F3,扼,646
0x904F,0xB6F4,遏,647
0x9102,0xB6F5,鄂,648
0x997F,0xB6F6,饿,649
0x6069,0xB6F7,恩,650
0x800C,0xB6F8,而,651
0x513F,0xB6F9,儿,652
0x8033,0xB6FA,耳,653
0x5C14,0xB6FB,尔,654
0x9975,0xB6FC,饵,655
0x6D31,0xB6FD,洱,656
0x4E8C,0xB6FE,二,657
0x8D30,0xB7A1,贰,658
0x53D1,0xB7A2,发,659
0x7F5A,0xB7A3,罚,660
0x7B4F,0xB7A4,筏,661
