unicode,gb2312,Chinese,stroke number,id
0x5944,0xD1D9,奄,8,3158
0x63A9,0xD1DA,掩,11,3159
0x773C,0xD1DB,眼,11,3160
0x884D,0xD1DC,衍,9,3161
0x6F14,0xD1DD,演,14,3162
0x8273,0xD1DE,艳,10,3163
0x5830,0xD1DF,堰,12,3164
0x71D5,0xD1E0,燕,16,3165
0x538C,0xD1E1,厌,6,3166
0x781A,0xD1E2,砚,9,3167
0x96C1,0xD1E3,雁,12,3168
0x5501,0xD1E4,唁,10,3169
0x5F66,0xD1E5,彦,9,3170
0x7130,0xD1E6,焰,12,3171
0x5BB4,0xD1E7,宴,10,3172
0x8C1A,0xD1E8,谚,11,3173
0x9A8C,0xD1E9,验,10,3174
0x6B83,0xD1EA,殃,9,3175
0x592E,0xD1EB,央,5,3176
0x9E2F,0xD1EC,鸯,10,3177
0x79E7,0xD1ED,秧,10,3178
0x6768,0xD1EE,杨,7,3179
0x626C,0xD1EF,扬,6,3180
0x4F6F,0xD1F0,佯,8,3181
0x75A1,0xD1F1,疡,8,3182
0x7F8A,0xD1F2,羊,6,3183
0x6D0B,0xD1F3,洋,9,3184
0x9633,0xD1F4,阳,6,3185
0x6C27,0xD1F5,氧,10,3186
0x4EF0,0xD1F6,仰,6,3187
0x75D2,0xD1F7,痒,11,3188
0x517B,0xD1F8,养,9,3189
0x6837,0xD1F9,样,10,3190
0x6F3E,0xD1FA,漾,14,3191
0x9080,0xD1FB,邀,16,3192
0x8170,0xD1FC,腰,13,3193
0x5996,0xD1FD,妖,7,3194
0x7476,0xD1FE,瑶,14,3195
0x6447,0xD2A1,摇,13,3196
0x5C27,0xD2A2,尧,6,3197
0x9065,0xD2A3,遥,13,3198
0x7A91,0xD2A4,窑,11,3199
0x8C23,0xD2A5,谣,12,3200
0x59DA,0xD2A6,姚,9,3201
0x54AC,0xD2A7,咬,9,3202
0x8200,0xD2A8,舀,10,3203
0x836F,0xD2A9,药,9,3204
0x8981,0xD2AA,要,9,3205
0x8000,0xD2AB,耀,20,3206
0x6930,0xD2AC,椰,12,3207
0x564E,0xD2AD,噎,15,3208
0x8036,0xD2AE,耶,8,3209
0x7237,0xD2AF,爷,6,3210
0x91CE,0xD2B0,野,11,3211
0x51B6,0xD2B1,冶,7,3212
0x4E5F,0xD2B2,也,3,3213
0x9875,0xD2B3,页,6,3214
0x6396,0xD2B4,掖,11,3215
0x4E1A,0xD2B5,业,5,3216
0x53F6,0xD2B6,叶,5,3217
0x66F3,0xD2B7,曳,6,3218
0x814B,0xD2B8,腋,12,3219
0x591C,0xD2B9,夜,8,3220
0x6DB2,0xD2BA,液,11,3221
0x4E00,0xD2BB,一,1,3222
0x58F9,0xD2BC,壹,12,3223
0x533B,0xD2BD,医,7,3224
0x63D6,0xD2BE,揖,12,3225
0x94F1,0xD2BF,铱,11,3226
0x4F9D,0xD2C0,依,8,3227
0x4F0A,0xD2C1,伊,6,3228
0x8863,0xD2C2,衣,6,3229
0x9890,0xD2C3,颐,13,3230
0x5937,0xD2C4,夷,6,3231
0x9057,0xD2C5,遗,12,3232
0x79FB,0xD2C6,移,11,3233
0x4EEA,0xD2C7,仪,5,3234
0x80F0,0xD2C8,胰,10,3235
0x7591,0xD2C9,疑,14,3236
0x6C82,0xD2CA,沂,7,3237
0x5B9C,0xD2CB,宜,8,3238
0x59E8,0xD2CC,姨,9,3239
0x5F5D,0xD2CD,彝,18,3240
0x6905,0xD2CE,椅,12,3241
0x8681,0xD2CF,蚁,9,3242
0x501A,0xD2D0,倚,10,3243
0x5DF2,0xD2D1,已,3,3244
0x4E59,0xD2D2,乙,1,3245
0x77E3,0xD2D3,矣,7,3246
0x4EE5,0xD2D4,以,4,3247
0x827A,0xD2D5,艺,4,3248
0x6291,0xD2D6,抑,7,3249
0x6613,0xD2D7,易,8,3250
0x9091,0xD2D8,邑,7,3251
0x5C79,0xD2D9,屹,6,3252
0x4EBF,0xD2DA,亿,3,3253
0x5F79,0xD2DB,役,7,3254
0x81C6,0xD2DC,臆,17,3255
0x9038,0xD2DD,逸,11,3256
0x8084,0xD2DE,肄,13,3257
0x75AB,0xD2DF,疫,9,3258
0x4EA6,0xD2E0,亦,6,3259
